Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,141676.87,119449.83,1305000.00,907,0,556,0,280,0,223,0,25,0.36280967419034615,3348
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,4756720.13,890394.37,7122250.00,11072,0,13471,0,7383,0,2557,0,198,0.7862229178329115,29760
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,3636994.03,1814967.93,20365500.00,26878,0,6382,0,47611,0,7022,0,507,0.812136717075754,84276
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,716971.60,842531.43,118500200.00,12117,1796,0,4985,12718,550,6832,195,281,0.9118434431490968,70308
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,2741717.82,1431463.91,140652000.00,16168,0,6159,0,15312,0,7520,0,307,0.9072563661939262,78768
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,886049.04,806050.00,142268200.00,13120,1966,0,5043,13687,842,7182,160,297,0.9319664633222747,75420
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,827367.40,652470.00,141468000.00,11484,1873,0,4044,12586,801,6682,156,285,0.9312826965410911,71304
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,909661.78,635040.00,154184100.00,11971,1745,0,4408,12302,592,6661,164,293,0.9277135667044125,74040
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,526943.60,258995.00,152248800.00,6085,7422,0,3912,2841,10142,6664,151,283,0.9323006678059188,69816
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,10129408.90,0.00,0,10116,0,5465,0,8281,0,3644,99,1.1345177799039279,35196
