,Group,ID,Day,Size
0,1,101,0,41.8
9,1,101,13,1030.4
16,1,102,0,79.4
25,1,102,13,618.8
32,1,103,0,44.8
44,1,104,0,67.7
57,1,105,0,54.7
66,1,105,13,1699.3
68,1,106,0,60.0
81,1,107,0,46.8
88,1,107,13,2342.6
89,1,108,0,49.4
96,1,108,13,2295.9
97,2,201,0,49.1
106,2,201,13,455.5
116,2,202,0,60.6
131,2,203,0,41.5
147,2,204,0,46.8
162,2,205,0,39.5
171,2,205,13,552.5
178,2,206,0,53.5
196,2,207,0,43.5
205,2,207,13,62.4
215,2,208,0,64.4
230,2,209,0,47.5
249,2,210,0,71.7
258,2,210,13,743.5
268,3,301,0,44.1
277,3,301,13,2058.7
278,3,302,0,42.1
287,3,302,13,589.5
298,3,303,0,42.5
307,3,303,13,442.4
318,3,304,0,56.9
327,3,304,13,1066.4
330,3,305,0,46.7
339,3,305,13,455.3
349,3,306,0,51.2
358,3,306,13,1177.5
363,3,307,0,44.0
372,3,307,13,651.8
380,3,308,0,59.8
387,3,308,13,956.9
389,3,309,0,40.7
398,3,309,13,565.4
410,3,310,0,58.2
419,3,310,13,1372.7
429,4,401,0,41.3
445,4,402,0,53.5
451,4,403,0,45.8
460,4,403,13,624.1
471,4,404,0,48.2
490,4,405,0,47.7
499,4,405,13,527.1
511,4,406,0,69.2
518,4,406,13,1227.7
524,4,407,0,43.9
541,4,408,0,59.3
558,4,409,0,51.1
566,4,409,13,691.4
